Data1;Data2;Correlation score
CO - Age de l'assuré;Age de l'assuré;1.0
CO - Coefficient Commercial;Ancienne réduction salariés (RED);1.0
CO - Antivol Minimum Exigé;Antivol minimum exigé;1.0
CO - Apprentissage Anticipé Conduite (O/N);Apprentissage anticipé de la conduite;1.0
CO - Classe Réparation Véhicule;Classe de réparation du véhicule;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
SI - Code Formule;Code formule;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
CO-Code Motif CTI;Code motif CTI;1.0
CO-Code Motif CTI;Code motif CTI;1.0
CO-Code Motif CTI;Code motif CTI;1.0
CO - Product Code;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
CO - Code Produit;Code produit;1.0
CO - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
SI - Product Code;Code produit;1.0
CO - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
SI - Code Produit;Code produit;1.0
CO-Code Produit;Code produit;1.0
CO - CSDP Appliqué;Coefficient de surveillance du portefeuille appliqué;1.0
CO - CSDP Appliqué;Coefficient de surveillance du portefeuille appliqué;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO - Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
CO-Date Création Affaire Nouvelle;Date création affaire nouvelle;1.0
SI - Claim Closed Date;Date de cloture du sinistre;1.0
CO - Date de début effet avenant;Date de début d'effet avenant;1.0
CO - Date de début effet avenant;Date de début d'effet avenant;1.0
CO - Date de début effet avenant;Date de début d'effet avenant;1.0
CO - Date de début effet contrat;Date de début d'effet du contrat;1.0
CO - Date de début effet contrat;Date de début d'effet du contrat;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO - Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO-Date Dernière Tarification;Date de dernière tarification;1.0
CO - Date de fin d effet d avenant;Date de fin effet avenant;1.0
CO - Date de fin d effet d avenant;Date de fin effet avenant;1.0
CO - Date Naissance Assuré;Date de naissance de l'assuré;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
CO-Date Prochain Terme;Date de prochain terme;1.0
SI - Claim Opened Date;Date d'ouverture du sinistre;1.0
CO - Date Echéance Principale;Date échéance principale;1.0
CO - Date Echéance Principale;Date échéance principale;1.0
CO - Date Emmenagement HEC;Date emménagement HEC;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO-Date Référence Tarif;Date référence tarif;1.0
CO - Date Référence Tarif;Date référence tarif;1.0
SI - Claim Status;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Etat Sinistre;Etat du sinistre;1.0
SI - Claim Status;Etat du sinistre;1.0
SI - Etat du Sinistre;Etat du sinistre;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Mois Echéance Principale;Mois échéance principale;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO - Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
CO-Motif Passage Avenant;Motif passage avenant;1.0
Name;Nom;1.0
Name;Nom;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
CO - Amendment Number;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
SI - N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
Amendment Number;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° d’avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
Numéro d'Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
Numéro d Avenant;Numéro d'avenant;1.0
Amendment Number;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Avenant;Numéro d'avenant;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
SI - N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
Numéro de personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
SI - N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
SI - N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne Sogessur;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
N° Personne;Numéro de client assuré;1.0
SI - N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
SI - N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
SI - N° contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
Contract Number;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
SI - N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
CO - N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
Contract Number;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
SI - Numero de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
CO - N° de contrat;Numéro de contrat;1.0
N° de contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
SI - N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
Numéro de Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
N° Contrat;Numéro de contrat;1.0
